CMPD_CHEMBLID,MOLWEIGHT,mol,VALUE,ty,label,,
CHEMBL610171,298.32001,Fc1cc(C(=O)N)c2nn(-c3ccc(CNC)cc3)cc2c1,1.4,IC50,1,,
CHEMBL2058926,448.5,Fc1c(C(=O)N2CCN(c3ncccc3)CC2)cc(CC2=NNC(=O)C3=C2NCCC3)cc1,1.4,EC50,1,,
CHEMBL3921828,479.51999,Fc1c(C(=O)N2CCC(N=C(O)c3c[nH]nc3)CC2)cc(Cc2nnc(O)c3c2NCCC3)cc1,1.4,KI,1,,
CHEMBL3954947,529.58002,Fc1c(C(=O)N2CCC(N=C(O)c3cc4n[nH]cc4cc3)CC2)cc(Cc2nnc(O)c3c2NCCC3)cc1,1.4,KI,1,,
CHEMBL3899153,476.51001,Fc1c(C(=O)N2CCN(C(=O)c3ccncc3)CC2)cc(Cc2nnc(O)c3c2NCCC3)cc1,1.4,KI,1,,
CHEMBL3982693,441.51001,Fc1c(C(=O)N2CCN(C(=O)C(C)C)CC2)cc(Cc2nnc(O)c3c2NCCC3)cc1,1.4,KI,1,,
CHEMBL3763446,362.37,Fc1ccc([C@@H]2[C@@H](c3n(C)ncn3)C3=NNC(=O)c4c3c(N2)ccc4)cc1,1.46,IC50,1,,
CHEMBL3962600,490.54001,Fc1c(C(=O)N2CCC(N=C(O)c3cnccc3)CC2)cc(Cc2nnc(O)c3c2NCCC3)cc1,1.5,KI,1,,
CHEMBL3898349,496.57001,Fc1c(C(=O)N2CCC(N=C(O)c3ncsc3)CC2)cc(Cc2nnc(O)c3c2NCCC3)cc1,1.5,KI,1,,
CHEMBL3964387,513.64001,Fc1c(C(=O)N2CCN(C(=O)[C@@H]3C(C)(C)SCN3)CC2)cc(Cc2nnc(O)c3c2CCCC3)cc1,1.5,KI,1,,
CHEMBL3972905,526.57001,Fc1c(C(=O)N2CCN(C(=O)c3nc4c(cc3)cccc4)CC2)cc(Cc2nnc(O)c3c2NCCC3)cc1,1.5,KI,1,,
CHEMBL3930573,477.5,Fc1c(C(=O)N2CCN(C(=O)c3nccnc3)CC2)cc(Cc2nnc(O)c3c2NCCC3)cc1,1.5,KI,1,,
CHEMBL3970477,509.97,Clc1c(C(=O)N2CCN(C(=O)c3c(F)ccc(Cc4nnc(O)c5c4CCCC5)c3)CC2)cccn1,1.5,KI,1,,
CHEMBL3893791,443.48001,Fc1c(C(=O)N2CCN(C(=O)OCC)CC2)cc(Cc2nnc(O)c3c2NCCC3)cc1,1.5,KI,1,,
CHEMBL3953380,398.48001,Fc1c(C(=O)N2CCN(C)CCC2)cc(Cc2nnc(O)c3c2CCCC3)cc1,1.5,KI,1,,
CHEMBL599793,437.29999,Clc1c(Cl)cn2C(Cc3cc(C(=O)N4CCNCCC4)c(F)cc3)=CNC(=O)c12,1.6,IC50,1,,
CHEMBL3764202,379.37,Fc1cc2C(=O)NN=C3[C@@H]([C@@H](c4ccc(F)cc4)Nc(c23)c1)c1n(C)ccn1,1.6,IC50,1,,
CHEMBL3897941,438.5,Fc1c(C(=O)N2CCN(C(=O)C3CC3)CC2)cc(Cc2nnc(O)c3c2CCCC3)cc1,1.6,KI,1,,
CHEMBL3934769,514.63,Fc1c(C(=O)N2CCN(C(=O)C3C(C)(C)SCN3)CC2)cc(Cc2nnc(O)c3c2NCCC3)cc1,1.6,KI,1,,
CHEMBL3903770,514.56,Fc1c(C(=O)N2CCN(C(=O)c3cc4[nH]ccc4cc3)CC2)cc(Cc2nnc(O)c3c2NCCC3)cc1,1.6,KI,1,,
CHEMBL3933583,462.53,Fc1c(C(=O)N2CCN(c3nc(C)cnc3)CC2)cc(Cc2nnc(O)c3c2CCCC3)cc1,1.6,KI,1,,
CHEMBL3984109,625.63,FC(F)(F)c1n(C(C)C)c2c(n1)cc(C(=O)N1CCN(C(=O)c3c(F)ccc(Cc4nnc(O)c5c4NCCC5)c3)CC1)cc2,1.7,KI,1,,
CHEMBL2323218,472.51999,Fc1c(C(=O)N2C3c4c(C(=O)NC3)cccc4CC2)cc(CC2=NNC(=O)C3=C2CCCC3)cc1,1.8,IC50,1,,
CHEMBL590632,481.57001,Fc1c(C(=O)N2CCN(C(=O)C3(CC=C)NCCC3)CC2)cc(CC=2C(C)=C(C)C(=O)NN=2)cc1,1.8,IC50,1,,
CHEMBL590805,550.41998,Clc1c(Cl)cc2C(=O)NC=C(Cc3cc(C(=O)N4CCN(c5ncc6c(c5)cccc6)CC4)c(F)cc3)n12,1.8,IC50,1,,
CHEMBL605575,457.54999,Fc1c(C(=O)N2CCN(C(=O)C(N(C)C)(C)C)CC2)cc(CC=2C(C)=C(C)C(=O)NN=2)cc1,1.8,IC50,1,,
CHEMBL597339,368.41,Fc1c(C(=O)N2CCNCCC2)cc(CC=2n3c(C(=O)NC=2)ccc3)cc1,1.8,IC50,1,,
CHEMBL481082,246.31,O=C(N)c1c2nc(C(N(C)C)(C)C)[nH]c2ccc1,1.8,EC50,1,,
CHEMBL3912710,529.58002,Fc1c(C(O)=NC2CCN(C(=O)c3cc4[nH]cnc4cc3)CC2)cc(Cc2nnc(O)c3c2NCCC3)cc1,1.8,KI,1,,
CHEMBL3950202,474.54001,Fc1c(C(=O)N2CCC(C(=O)c3ccccc3)CC2)cc(Cc2nnc(O)c3c2NCCC3)cc1,1.8,KI,1,,
CHEMBL3967308,466.56,Fc1c(C(=O)N2CCN(C(=O)C3(C)CC3)CCC2)cc(Cc2nnc(O)c3c2CCCC3)cc1,1.8,KI,1,,
CHEMBL3927211,398.48001,Fc1c(C(=O)N2CCN(CC)CC2)cc(Cc2nnc(O)c3c2CCCC3)cc1,1.8,KI,1,,
CHEMBL3913570,476.54999,Fc1c(C(=O)N(CCN=C(O)c2ccccc2)CC)cc(Cc2nnc(O)c3c2CCCC3)cc1,1.8,KI,1,,
CHEMBL3924863,505.54999,Fc1c(C(=O)N2CCN(C(=O)OCc3ccccc3)CC2)cc(Cc2nnc(O)c3c2NCCC3)cc1,1.8,KI,1,,
CHEMBL3764188,379.37,Fc1cc2C(=O)NN=C3C(c4n(C)ncc4)C(c4ccc(F)cc4)Nc(c23)c1,1.84,IC50,1,,
CHEMBL1097627,334.42001,O=C(N)c1c2nn(-c3ccc(CN4CCCCC4)cc3)cc2ccc1,1.9,IC50,1,,
